timestamp,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,MAMA-FAMA,MAMA-MAMA,T3,MACD-MACD,MACD-MACD_Hist,MACD-MACD_Signal,MACDEXT-MACD,MACDEXT-MACD_Hist,MACDEXT-MACD_Signal,SlowD,SlowK,STOCHF-FastD,STOCKF-FastK,RSI,STOCHRSI-FastD,STOCHRSI-FastK,WILLR,ADX,ADXR,APO,PPO
6/23/2014,25108.0898,25197.5,24878.6602,25031.3203,10200,25429.81,25269.2587,25338.7906,25384.8579,25207.4536,25415.9141,25193.9604,19422.6836,21710.0943,25594.0993,477.0558,-127.1663,604.222,450.9143,-50.8746,501.7889,25.7141,17.2982,17.2982,20.8946,51.7261,1.895,0,-82.191,22.9251,23.7537,450.9143,1.8059
6/20/2014,25237.5391,25276.3105,25056.1797,25105.5098,8800,25473.3609,25305.074,25405.2036,25482.1772,25326.8538,25474.1628,25198.3843,19411.1891,21675.7711,25594.2343,528.1924,-107.8212,636.0136,459.7803,-66.0418,525.8221,32.8463,20.0668,20.0668,8.9188,54.4771,20.2613,0,-92.7423,24.0886,24.0369,459.7803,1.8437
6/19/2014,25327.0898,25425.8496,25069.6602,25201.8008,15200,25470.102,25320.0818,25447.4877,25551.549,25416.0733,25512.2945,25198.1632,19399.8093,21639.7937,25576.3525,572.5984,-90.3706,662.9689,487.3321,-64.7685,552.1006,36.925,39.7774,39.7774,22.0812,56.3428,20.2613,5.685,-79.4816,24.2465,23.4895,487.3321,1.9585
6/18/2014,25565.1895,25609.2793,25114.3008,25246.25,13200,25420.2311,25318.5244,25464.4225,25599.8715,25484.1699,25510.148,25192.6215,19388.5531,21602.5483,25542.309,611.8299,-73.7317,685.5615,492.4793,-85.4267,577.9059,35.0565,38.6949,38.6949,29.2002,61.3723,18.3663,55.0989,-44.8785,24.3369,23.0498,492.4793,1.9836
6/17/2014,25189.4609,25545.8809,25104.5,25521.1895,11300,25354.615,25263.71,25426.1362,25552.7641,25419.0582,25474.2779,25165.3871,19377.4275,21562.5216,25493.7319,628.7613,-75.2332,703.9945,463.3862,-143.8256,607.2119,39.8993,32.3027,32.3027,68.0507,55.7642,14.4804,0,-19.6775,24.1771,22.7976,463.3862,1.8717
6/16/2014,25239.5,25268.4102,25063.9297,25190.4805,12000,25308.591,25280.2098,25447.7962,25649.998,25567.3136,25402.9892,25164.195,19366.4471,21525.8858,25432.5051,679.4824,-43.3204,722.8028,472.3605,-174.1524,646.513,55.5423,34.172,34.172,18.8337,56.7518,31.9446,0,-49.1829,24.2046,22.4068,472.3605,1.9144
6/13/2014,25677.0508,25688.3105,25171.6094,25228.1699,14700,25221.5371,25289.2564,25444.5303,25750.2664,25740.4295,25275.3162,25156.1217,19355.5957,21488.3746,25351.7112,729.2426,-4.3902,733.6329,522.8369,-166.0793,688.9162,72.7842,53.2231,53.2231,10.0238,65.9425,60.9717,43.4412,-34.6394,25.1521,22.4601,522.8369,2.1285
6/12/2014,25597.2109,25611.3203,25409.6895,25576.2109,10200,25083.9311,25203.0798,25336.6903,25680.3599,25684.6072,25107.3746,24945.6036,19344.8782,21446.0647,25259.1513,737.597,2.8666,734.7304,559.1108,-170.2117,729.3225,86.1246,79.2317,79.2317,73.6585,65.012,79.8246,52.3927,-10.1548,25.6986,22.4131,559.1108,2.288
6/11/2014,25650.6191,25735.8691,25365.6504,25473.8906,14000,24976.523,25115.4951,25223.838,25611.2528,25634.9215,24944.9947,24817.5374,19334.3194,21404.1339,25169.8627,745.6607,11.6469,734.0138,607.8996,-256.7586,864.6582,91.8134,85.8979,85.8979,75.987,66.0993,95.6937,87.0811,-16.6627,25.1698,22.0778,607.8996,2.4998
6/10/2014,25706.3496,25711.1094,25347.3301,25583.6895,13600,24870.6221,24996.5787,25082.0203,25483.5883,25503.7686,24797.6618,24660.8697,19323.9184,21361.2402,25088.6516,739.669,8.567,731.102,667.2128,-330.112,997.3248,94.2348,93.2442,93.2442,88.0495,67.1541,100,100,-8.234,24.5822,21.6549,667.2128,2.7574
